slug,yearly_growth
dusk-network,32.43339862498753
function-x,48.448540834174864
innovaminex,nan
jarvis,nan
membrana,inf
parachute,inf
webflix-token,inf
yottachain,nan
arpa-chain,64.93844209937714
band-protocol,18.905198411376563
decentralized-vulnerability-platform,nan
husd,9.508834262801644
mixmarvel,inf
nestree,inf
rupiah-token,inf
tesra,inf
tellor,inf
life,nan
vectorspace-ai,26.014969342100187
conun,inf
now-token,inf
3x-long-bitcoin-token,inf
all-sports,inf
dydx,inf
gods-unchained,inf
pooltogether,inf
uniswap,2.0407379029988486
kardiachain,inf
compound-dai,5.741961013330652
nucypher,101.37717738669589
balancer,13.578873345599064
bitcherry,nan
gridplus,inf
mcdex,80.96212492092133
yearn-finance-ii,22.387372721249474
wom-protocol,nan
yam,nan
ethverse,inf
meridian-network,nan
dxdao,inf
yflink,45.26450140831658
get-protocol,53.43403597891423
mixtrust,nan
cream-finance,29.753231567998984
axis-defi,inf
degenvc,inf
robonomics-network,70.1202302206611
sushi,5.006689149225338
kimchi-finance,100.50721960926413
boosted-finance,nan
oin-finance,50.43661435515839
tontoken,inf
unitrade,inf
perpetual-protocol,41.23880398380189
justliquidity,nan
moonswap,inf
aavegotchi-ghst-token,21.714625966439918
yamv3,inf
bidao,16.260468777027853
dhedge-dao,33.399721710740664
rarible,40.857165767587574
aave-dai,inf
aave-link,inf
aave-susd,inf
aave-usdt,inf
compound-usdt,14.91550920493883
yeld-finance,nan
ptokens-btc,inf
alpha-finance-lab,11.752284517538085
axie-infinity,33.50649144387133
sav3token,nan
jarvis-network,55.35788528275775
88mph,17.768559352967888
leverj-gluon,inf
etherisc,19.75708271929139
swapfolio,nan
kira-network,52.52211235741559
offshift,51.923186984045834
smartkey,16.6233784541869
dodo,20.713286077228428
mahadao,42.79758393819629
bondly,38.779168591873876
frax-share,26.045643478195046
mithril-share,nan
one-cash,nan
lido-dao,15.996929107858595
oraichain-token,15.974676807678808
glitch,116.86114749660084
insured-finance,inf
polkabridge,inf
slink,inf
saud,nan
opium,inf
polkastarter,18.295124083382998
name-changing-token,inf
amp,17.050730170947926
fsw-token,inf
gourmet-galaxy,inf
razor-network,inf
deri-protocol,inf
rai,inf
nord-finance,55.60166879422308
antimatter,inf
kylin,inf
paint,inf
rally,28.911800623265854
portion,inf
yvs-finance,inf
crowns,inf
jasmy,inf
bamboo-defi,inf
stater,inf
ramp,29.65440047999526
polkamarkets,inf
futureswap,inf
nftx,27.28616048886965
genesis-shards,inf
kishu-inu,inf
dogelon,inf
boson-protocol,inf
raydium,inf
convex-finance,inf
dawn-protocol,inf
dexe,28.382123552908972
